"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","pH","sulphates","alcohol","quality","type_wine"
"5649",6.8,0.16,0.36,1.3,0.034,98,3.02,0.58,11.3,6,0
"5659",6.8,0.16,0.36,1.3,0.034,98,3.02,0.58,11.3,6,0
"3833",6.5,0.39,0.35,1.6,0.049,164,3.35,0.51,9.7,5,0
"4135",9,0.26,0.34,6.7,0.029,162,3.08,0.5,10.6,6,0
"4141",9,0.26,0.34,6.7,0.029,162,3.08,0.5,10.6,6,0
"2924",6.9,0.16,0.35,1.3,0.043,182,3.25,0.62,10.8,6,0
"3067",7.1,0.25,0.49,3,0.03,96,3.13,0.39,12.3,7,0
"2833",7.7,0.39,0.3,5.2,0.037,131,3.38,0.44,11,6,0
"6434",5.9,0.37,0.3,1.5,0.033,95,3.36,0.56,12,7,0
"1351",9,0.6,0.29,2,0.069,73,3.34,0.57,10,5,1
"1883",6.7,0.34,0.3,15.6,0.054,196,3.19,0.49,9.3,5,0
"5683",6.2,0.3,0.32,1.2,0.052,185,3.28,0.44,10.1,5,0
"3819",6.5,0.24,0.36,2.2,0.027,134,3.28,0.36,12.5,7,0
"6234",5.8,0.29,0.38,10.7,0.038,136,3.11,0.59,11.2,6,0
"2275",6.1,0.28,0.25,6.9,0.056,201,3.19,0.4,9.1,6,0
"4685",8.5,0.23,0.4,9.9,0.036,88,3.02,0.42,10.5,6,0
"2549",7.3,0.25,0.39,6.4,0.034,84,3.18,0.46,11.5,5,0
"4925",6.8,0.25,0.28,5,0.035,126,3.12,0.38,12.6,7,0
"4095",6.3,0.18,0.22,1.5,0.043,155,3.19,0.48,10.2,5,0
"586",7.6,0.51,0.24,2.4,0.091,38,3.47,0.66,9.6,6,1
"2288",7.2,0.28,0.3,10.7,0.044,222,3.14,0.5,9.1,6,0
"4964",6,0.2,0.26,1.1,0.033,67,3.14,0.38,11.5,6,0
"3528",7,0.27,0.32,6.8,0.047,193,3.23,0.39,11.4,6,0
"3097",6.8,0.27,0.49,1.2,0.044,126,3.13,0.48,12.1,7,0
"4770",7.6,0.17,0.46,0.9,0.036,147,3.02,0.41,10.7,6,0
"5568",6.5,0.29,0.52,7.9,0.049,192,3.16,0.51,9.5,6,0
"5574",6.5,0.29,0.52,7.9,0.049,192,3.16,0.51,9.5,6,0
"4211",6.5,0.3,0.39,7.8,0.038,219,3.19,0.5,9.4,5,0
"5353",6.6,0.27,0.33,1.4,0.042,183,3.29,0.46,10.7,5,0
"5358",6.6,0.27,0.33,1.4,0.042,183,3.29,0.46,10.7,5,0
"1621",6.4,0.31,0.38,2.9,0.038,102,3.17,0.35,11,7,0
"5902",7.1,0.39,0.39,11.1,0.034,204,3.05,0.52,10,6,0
"3718",6.4,0.2,0.32,3.1,0.041,126,3.43,0.42,12,6,0
"4855",7.4,0.19,0.31,14.5,0.045,193,3.1,0.5,9.2,6,0
"4856",7.4,0.19,0.31,14.5,0.045,193,3.1,0.5,9.2,6,0
"4857",7.4,0.19,0.31,14.5,0.045,193,3.1,0.5,9.2,6,0
"4858",7.4,0.19,0.31,14.5,0.045,193,3.1,0.5,9.2,6,0
"4859",7.4,0.19,0.31,14.5,0.045,193,3.1,0.5,9.2,6,0
"4860",7.4,0.19,0.31,14.5,0.045,193,3.1,0.5,9.2,6,0
"608",8.8,0.48,0.41,3.3,0.092,52,3.31,0.53,10.5,6,1
"4178",5.8,0.3,0.27,1.7,0.014,104,3.4,0.56,12.6,7,0
"2875",6.2,0.22,0.27,1.5,0.064,132,3.22,0.46,9.2,6,0
"5803",6.2,0.3,0.32,1.3,0.054,183,3.3,0.43,10.1,5,0
"2620",8.6,0.2,0.42,1.5,0.041,125,3.11,0.49,11.4,7,0
"2621",8.6,0.2,0.42,1.5,0.041,125,3.11,0.49,11.4,7,0
"1692",6.9,0.24,0.33,1.7,0.035,136,3.26,0.4,12.6,7,0
"4438",6.9,0.15,0.29,2.3,0.033,82,3.1,0.58,11.2,7,0
"4446",6.9,0.15,0.29,2.3,0.033,82,3.1,0.58,11.2,7,0
"4945",6.8,0.18,0.24,9.8,0.058,188,3.13,0.51,10.6,6,0
"3400",7.6,0.3,0.22,10.2,0.049,191,3.08,0.4,9.3,6,0
"3404",7.6,0.3,0.22,10.2,0.049,191,3.08,0.4,9.3,6,0
"224",8.6,0.645,0.25,2,0.083,28,3.28,0.6,10,6,1
"3300",6.7,0.26,0.3,1.8,0.043,121,3.44,0.61,10.2,6,0
"4463",6.5,0.15,0.32,1.3,0.036,76,3.18,0.41,12.3,6,0
"4379",6.7,0.2,0.37,1.65,0.025,103,3.11,0.45,11.4,5,0
"5043",6,0.16,0.22,1.6,0.042,106,3.24,0.32,11.4,6,0
"5947",7.1,0.23,0.3,2.6,0.034,148,3.03,0.56,11.3,7,0
"1005",8.2,0.43,0.29,1.6,0.081,45,3.25,0.54,10.3,5,1
"458",9.2,0.63,0.21,2.7,0.097,65,3.28,0.58,9.6,5,1
"1140",8.2,0.51,0.24,2,0.079,86,3.34,0.64,9.5,6,1
"3474",7.9,0.29,0.31,7.35,0.034,154,3.06,0.31,10.8,5,0
"6431",5.8,0.38,0.26,1.1,0.058,140,3.27,0.43,9.7,6,0
"4951",6,0.22,0.28,1.1,0.034,90,3.22,0.38,12.6,6,0
"4963",6,0.22,0.28,1.1,0.034,90,3.22,0.38,12.6,6,0
"5105",6,0.2,0.32,3,0.031,118,3.38,0.68,11.2,7,0
"1693",6.9,0.21,0.33,1.8,0.034,136,3.25,0.41,12.6,7,0
"5806",5.9,0.32,0.2,14.4,0.05,144,3.24,0.41,10.3,6,0
"4969",7,0.22,0.28,10.6,0.039,117,3.05,0.55,11.5,7,0
"4002",8,0.26,0.28,8.2,0.038,202,3.12,0.56,10,6,0
"4259",7.1,0.15,0.34,1,0.033,73,3.24,0.41,12.2,6,0
"3306",6.4,0.24,0.22,1.5,0.038,157,3.41,0.55,9.9,6,0
"4998",6.1,0.33,0.32,7.8,0.052,183,3.39,0.65,9.5,5,0
"5007",6.1,0.33,0.32,7.8,0.052,183,3.39,0.65,9.5,5,0
"4946",6.7,0.18,0.24,10.3,0.057,185,3.12,0.5,10.6,6,0
"2540",6.2,0.34,0.28,7.5,0.034,197,3.14,0.6,9.7,5,0
"3405",7.5,0.33,0.39,12.4,0.065,119,3.16,0.39,9.4,5,0
"3408",7.5,0.33,0.39,12.4,0.065,119,3.16,0.39,9.4,5,0
"2035",6.9,0.2,0.37,6.2,0.027,97,3.38,0.49,12.2,7,0
"194",7.6,0.55,0.21,2.2,0.071,28,3.28,0.55,9.7,5,1
"195",7.6,0.55,0.21,2.2,0.071,28,3.28,0.55,9.7,5,1
"4879",7.4,0.16,0.32,1.4,0.065,140,3.06,0.47,11.4,6,0
"4644",6,0.27,0.3,14.7,0.044,144,3.12,0.53,10.3,6,0
"1346",8.2,0.44,0.24,2.3,0.063,28,3.25,0.53,10.2,6,1
"2967",7.6,0.27,0.24,3.8,0.058,115,3.15,0.45,8.9,5,0
"5325",6.6,0.26,0.28,9.4,0.028,121,3.17,0.34,12.1,6,0
"2498",6.6,0.26,0.29,1.4,0.039,67,3.05,0.49,10.9,6,0
"5566",5.4,0.185,0.19,7.1,0.048,110,3.26,0.41,9.5,6,0
"4949",6.4,0.17,0.27,9.9,0.047,101,3.34,0.5,9.9,6,0
"4961",6.4,0.17,0.27,9.9,0.047,101,3.34,0.5,9.9,6,0
"4675",6.4,0.15,0.4,1.5,0.042,87,3.11,0.46,12.2,7,0
"6171",5.7,0.22,0.28,1.3,0.027,101,3.35,0.38,12.5,7,0
"4701",7,0.26,0.34,10.9,0.038,84,3.11,0.34,10.9,6,0
"3484",6.4,0.22,0.32,7.9,0.029,124,3.4,0.39,10.2,5,0
"1034",7.5,0.57,0.08,2.6,0.089,27,3.3,0.59,10.4,6,1
"1777",5.9,0.23,0.3,12.9,0.054,170,3.28,0.39,9.4,5,0
"5828",6.2,0.29,0.23,12.4,0.048,201,3.11,0.56,9.9,6,0
"4754",7.2,0.4,0.38,2.2,0.03,109,3.27,0.46,12.6,6,0
"4894",7.3,0.25,0.28,1.5,0.043,113,3.38,0.56,10.1,6,0
"5613",6.5,0.46,0.24,11.5,0.051,171,3.08,0.56,9.8,6,0
"2365",7.2,0.27,0.42,1.6,0.05,135,2.94,0.46,11,6,0
"2056",6.3,0.23,0.31,1.5,0.022,82,3.3,0.4,12.9,7,0
"2110",6.7,0.27,0.12,1.3,0.041,138,3.21,0.42,10,6,0
"1228",9,0.58,0.25,2,0.104,21,3.27,0.72,9.6,5,1
"1637",7,0.33,0.32,1.2,0.053,138,3.13,0.28,11.2,6,0
"1394",8,0.52,0.25,2,0.078,59,3.3,0.48,10.2,5,1
"4107",7.1,0.34,0.31,5.2,0.032,140,3.35,0.47,12.3,7,0
"5102",6.7,0.29,0.45,14.3,0.054,181,3.14,0.57,9.1,5,0
"5108",6.7,0.29,0.45,14.3,0.054,181,3.14,0.57,9.1,5,0
"3520",8.1,0.26,0.33,11.1,0.052,158,3.03,0.49,10.2,7,0
"6135",7.3,0.26,0.53,12.7,0.047,156,3.06,0.45,9.1,6,0
"3772",6.9,0.32,0.13,7.8,0.042,117,3.23,0.37,9.2,5,0
"3776",6.9,0.32,0.13,7.8,0.042,117,3.23,0.37,9.2,5,0
"5497",7,0.24,0.3,12.3,0.035,172,2.99,0.57,10.4,6,0
"1948",7.8,0.18,0.46,13.6,0.052,118,3.15,0.5,10,6,0
"1721",7.8,0.24,0.32,12.2,0.054,138,3.01,0.54,8.8,5,0
"1997",6.3,0.2,0.4,1.5,0.037,107,3.46,0.5,11.4,6,0
"2000",6.3,0.2,0.4,1.5,0.037,107,3.46,0.5,11.4,6,0
"2903",8.2,0.2,0.36,8.1,0.035,163,3.05,0.3,10.3,6,0
"6187",8,0.33,0.35,10,0.035,108,3.12,0.36,11.6,6,0
"2237",7.4,0.28,0.25,11.9,0.053,148,3.1,0.62,9.2,5,0
"5291",7.4,0.22,0.26,8.8,0.027,112,2.98,0.41,11.4,6,0
"4363",7.7,0.3,0.34,1.2,0.048,119,3.18,0.34,12.1,6,0
"4368",7.7,0.3,0.34,1.2,0.048,119,3.18,0.34,12.1,6,0
"2295",6.3,0.34,0.28,14.7,0.047,198,3.23,0.46,9.5,5,0
"3911",7,0.22,0.26,2.8,0.036,132,3.34,0.41,12,7,0
"322",9.3,0.61,0.26,3.4,0.09,87,3.24,0.62,9.7,5,1
"5725",6.3,0.17,0.23,5.7,0.048,147,3.08,0.54,10,5,0
"3211",8.2,0.26,0.49,5.2,0.04,100,3.12,0.34,10.1,6,0
"5505",6.5,0.33,0.3,3.8,0.036,88,3.25,0.63,12.5,7,0
"5506",6.5,0.33,0.3,3.8,0.036,88,3.25,0.63,12.5,7,0
"5512",6.5,0.33,0.3,3.8,0.036,88,3.25,0.63,12.5,7,0
"4114",6.9,0.34,0.3,4.7,0.029,148,3.36,0.49,12.3,7,0
"5063",6.2,0.3,0.31,1.6,0.035,106,3.26,0.39,12.9,7,0
"4026",7.3,0.22,0.26,1.5,0.04,172,3.27,0.48,11.2,6,0
"4028",7.3,0.22,0.26,1.5,0.04,172,3.27,0.48,11.2,6,0
"5234",7.6,0.31,0.27,8.8,0.021,156,3.08,0.38,11,7,0
"2475",7.1,0.21,0.32,2.2,0.037,141,3.2,0.57,10,7,0
"2480",7.1,0.21,0.32,2.2,0.037,141,3.2,0.57,10,7,0
"6161",6,0.26,0.26,2.2,0.035,72,3.11,0.48,12.15,6,0
"3270",7.8,0.24,0.18,6.7,0.046,160,3.2,0.56,9.8,6,0
"2406",6.4,0.31,0.26,13.2,0.046,205,3.17,0.41,9.6,5,0
"1976",6.4,0.31,0.28,1.5,0.037,119,3.32,0.51,10.4,7,0
"1979",6.4,0.31,0.28,1.5,0.037,119,3.32,0.51,10.4,7,0
"3255",7.8,0.28,0.49,1.3,0.046,142,3.09,0.59,10.2,5,0
"1734",6.8,0.27,0.22,8.1,0.034,203,3.19,0.52,8.9,5,0
"4171",7,0.16,0.32,1.1,0.032,80,3.23,0.36,12.1,6,0
"1775",6.9,0.23,0.4,7.5,0.04,151,3.11,0.27,11.4,6,0
"3902",6,0.26,0.18,7,0.055,194,3.21,0.43,9,5,0
"5254",6.8,0.18,0.32,7.2,0.047,109,3.42,0.44,10.4,6,0
"4635",6,0.24,0.33,2.5,0.026,85,3.13,0.5,11.3,7,0
"5442",7.5,0.26,0.31,1.6,0.032,109,2.97,0.43,11.9,6,0
"3043",7,0.18,0.49,5.3,0.04,125,3.24,0.4,12.2,6,0
"4576",6.8,0.32,0.39,9.6,0.026,124,3.18,0.35,12.1,6,0
"4934",6.6,0.425,0.25,2.35,0.034,87,3.05,0.41,11.4,6,0
"2825",6.8,0.32,0.37,3.4,0.023,87,3.14,0.53,12.7,6,0
"2836",6.8,0.32,0.37,3.4,0.023,87,3.14,0.53,12.7,6,0
"6012",7.1,0.27,0.27,10.4,0.041,114,3.04,0.52,11.5,7,0
"6014",7.1,0.27,0.27,10.4,0.041,114,3.04,0.52,11.5,7,0
"3730",7,0.35,0.24,1.9,0.04,144,3.35,0.38,11,5,0
"5585",6.8,0.11,0.27,8.6,0.044,104,3.2,0.37,9.9,6,0
"5586",6.8,0.11,0.27,8.6,0.044,104,3.2,0.37,9.9,6,0
"5589",6.8,0.11,0.27,8.6,0.044,104,3.2,0.37,9.9,6,0
"3587",8.1,0.22,0.28,7.7,0.043,176,3.12,0.55,10,5,0
"4415",6.6,0.36,0.24,0.9,0.038,72,3.23,0.39,11,5,0
"2779",7.2,0.2,0.25,4.5,0.044,109,3.23,0.36,9.4,5,0
"4767",5.6,0.28,0.4,6.1,0.034,118,3.21,0.43,12.1,7,0
"4869",6.6,0.38,0.36,9.2,0.061,214,3.31,0.56,9.4,5,0
"4878",6.6,0.38,0.36,9.2,0.061,214,3.31,0.56,9.4,5,0
"1798",7.1,0.32,0.24,13.1,0.05,204,3.1,0.49,8.8,5,0
"1801",7.1,0.32,0.24,13.1,0.05,204,3.1,0.49,8.8,5,0
"4262",7,0.23,0.33,1,0.043,110,3.04,0.65,10.8,6,0
"3628",8.9,0.21,0.34,7.1,0.037,150,3.1,0.45,9.7,6,0
"2589",7.7,0.28,0.39,8.9,0.036,117,3.06,0.38,12,7,0
"5060",6.8,0.19,0.4,9.85,0.055,103,2.98,0.56,10.5,6,0
"5071",6.8,0.19,0.4,9.85,0.055,103,2.98,0.56,10.5,6,0
"4267",6.6,0.12,0.25,1.4,0.039,131,3.2,0.45,11.2,7,0
"4886",6.8,0.23,0.31,2.8,0.047,122,3.06,0.64,10.9,7,0
"6129",7.3,0.26,0.53,12.7,0.047,164.5,3.06,0.45,9.1,6,0
"2795",7.9,0.22,0.45,14.2,0.038,141,3.03,0.46,9.2,6,0
"6263",6,0.17,0.33,6,0.036,111,3.32,0.58,10.1333333333333,7,0
"6381",5.6,0.3,0.1,6.4,0.043,142,3.14,0.48,9.8,5,0
"2694",7.4,0.24,0.31,8.4,0.045,183,3.09,0.32,8.8,5,0
"219",7.5,0.49,0.19,1.9,0.076,44,3.39,0.54,9.7,5,1
"4243",8.1,0.33,0.22,5.2,0.047,151,3.22,0.47,10.3,5,0
"5382",7.6,0.27,0.3,9.2,0.018,96,3.08,0.29,11,6,0
"4885",6.8,0.21,0.31,2.9,0.046,121,3.07,0.65,10.9,7,0
"4887",6.8,0.21,0.31,2.9,0.046,121,3.07,0.65,10.9,7,0
"3468",7.4,0.21,0.27,7.3,0.031,144,3.15,0.38,11.8,7,0
"5689",6.8,0.27,0.24,4.6,0.098,127,3.15,0.49,9.6,6,0
"1779",6.4,0.25,0.32,5.5,0.049,176,3.19,0.68,9.2,6,0
"5861",6,0.31,0.27,2.3,0.042,120,3.32,0.41,12.7,7,0
"5866",6,0.31,0.27,2.3,0.042,120,3.32,0.41,12.7,7,0
"4733",6.6,0.25,0.35,2.9,0.034,121,3.19,0.4,12.8,6,0
"1912",7.8,0.25,0.41,3.7,0.042,149,3.36,0.45,10,6,0
"1618",7.4,0.34,0.42,1.1,0.033,171,3.12,0.53,11.3,6,0
"3805",7.7,0.39,0.34,10,0.056,178,3.26,0.6,10.2,5,0
"2097",6.8,0.23,0.32,1.6,0.026,147,3.29,0.54,12.5,6,0
"2104",7.8,0.18,0.31,12.2,0.053,140,3.06,0.53,8.9,6,0
"2105",7.8,0.18,0.31,12.2,0.053,140,3.06,0.53,8.9,6,0
"3464",7.1,0.25,0.3,2.4,0.042,122,3.43,0.61,10.5,6,0
"1694",7.5,0.17,0.32,1.7,0.04,148,3.21,0.44,11.5,7,0
"4775",7.8,0.21,0.34,11.9,0.039,140,3.02,0.31,10.3,6,0
"5768",6,0.19,0.26,1.4,0.039,104,3.32,0.41,12.4,6,0
"5320",6.3,0.34,0.27,2.5,0.024,152,3.35,0.6,11.9,7,0
"1929",7.2,0.21,0.41,1.3,0.036,85,3.17,0.51,10.4,5,0
"2364",6.3,0.3,0.28,5,0.042,168,3.22,0.69,9.5,6,0
"5696",8,0.25,0.35,1.1,0.054,136,3.08,0.55,9.5,5,0
"6268",6,0.17,0.33,6,0.036,111,3.32,0.58,10.15,7,0
"2788",7.1,0.21,0.3,1.4,0.037,143,3.13,0.33,9.9,6,0
"3620",7.7,0.26,0.34,6.4,0.05,163,3.19,0.7,11.5,6,0
"6200",8.3,0.22,0.34,1.1,0.043,116,3,0.47,10.2,6,0
"2158",5.9,0.21,0.24,12.1,0.044,165,3.25,0.39,9.5,5,0
"3394",6.6,0.37,0.24,2,0.064,120,3.32,0.54,9.4,5,0
"1864",6.2,0.24,0.35,1.2,0.038,167,3.1,0.48,10.6,6,0
"2162",7.7,0.34,0.27,8.8,0.063,184,3.09,0.63,9.2,6,0
"1070",8,0.62,0.35,2.8,0.086,52,3.31,0.62,10.8,5,1
"4264",6.2,0.21,0.34,6.6,0.03,91,3.32,0.45,12.5,7,0
"5867",6,0.29,0.27,2.3,0.044,117,3.31,0.41,12.7,7,0
"1049",9.3,0.49,0.36,1.7,0.081,14,3.27,0.78,10.9,6,1
"5295",6.4,0.15,0.4,1.3,0.053,146,3.17,0.68,11,6,0
"4658",6.2,0.25,0.38,7.9,0.045,208,3.17,0.46,9.1,5,0
"4677",6.2,0.25,0.38,7.9,0.045,208,3.17,0.46,9.1,5,0
"6039",7.2,0.47,0.16,5.9,0.048,125,3.09,0.49,9.8,5,0
"6043",7.2,0.47,0.16,5.9,0.048,125,3.09,0.49,9.8,5,0
"86",6.9,0.55,0.15,2.2,0.076,40,3.41,0.59,10.1,5,1
"3406",7.6,0.38,0.2,3.4,0.046,116,3.15,0.41,9.4,5,0
"3411",7.6,0.38,0.2,3.4,0.046,116,3.15,0.41,9.4,5,0
"4639",6.3,0.27,0.29,12.2,0.044,196,3.14,0.4,8.8,6,0
"5391",6.5,0.26,0.5,8,0.051,197,3.18,0.47,9.5,5,0
"5324",5.4,0.255,0.33,1.2,0.051,122,3.37,0.66,11.3,6,0
"4505",7.6,0.31,0.26,1.7,0.073,157,3.1,0.46,9.8,5,0
"2114",7.8,0.28,0.32,9,0.036,115,3.17,0.39,10.3,7,0
"5177",7.3,0.23,0.27,2.6,0.035,120,3.04,0.59,11.3,7,0
"1841",7.7,0.31,0.26,7.8,0.031,90,3.13,0.5,10.4,5,0
"2889",6.6,0.16,0.3,1.6,0.034,78,3.38,0.44,11.2,6,0
"6264",6.1,0.16,0.34,6.1,0.034,114,3.32,0.58,10.1333333333333,7,0
"3655",7.3,0.29,0.29,4.6,0.029,155,3.07,0.26,10.6,6,0
"2713",7.4,0.18,0.4,1.6,0.047,102,3.28,0.44,10.7,5,0
"4391",6.6,0.25,0.51,8,0.047,189,3.22,0.49,9.2,5,0
"4400",6.6,0.25,0.51,8,0.047,189,3.22,0.49,9.2,5,0
"1503",7.3,0.585,0.18,2.4,0.078,60,3.31,0.54,9.8,5,1
"5726",6.3,0.18,0.22,5.6,0.047,147,3.09,0.54,10,5,0
"4916",5.8,0.18,0.37,1.1,0.036,96,3.16,0.48,12,6,0
"4444",8,0.22,0.31,5.6,0.049,97,3.1,0.42,10.9,5,0
"2012",7.2,0.19,0.39,1.2,0.036,85,3.16,0.5,10.5,5,0
"2013",7.2,0.19,0.39,1.2,0.036,85,3.16,0.5,10.5,5,0
"709",7.8,0.545,0.12,2.5,0.068,35,3.34,0.61,11.6,6,1
"1669",7.4,0.24,0.29,10.1,0.05,105,3.13,0.35,9.5,5,0
"1675",7.4,0.24,0.29,10.1,0.05,105,3.13,0.35,9.5,5,0
"5722",6.2,0.34,0.25,12.1,0.059,171,3.14,0.56,8.7,6,0
"2732",6.8,0.39,0.31,14.35,0.043,162,3.17,0.54,9.1,5,0
"4897",6.5,0.25,0.5,7.6,0.047,184,3.17,0.45,9.2,5,0
"5988",6.7,0.26,0.29,7.1,0.036,100,3.08,0.36,9.3,6,0
"4710",6.7,0.24,0.46,2.2,0.033,111,3.1,0.62,11.9,6,0
"2343",5.9,0.26,0.25,12.5,0.034,152,3.33,0.43,9.4,5,0
"5851",7,0.24,0.24,1.8,0.047,91,3.3,0.43,9.9,6,0
"1700",7.4,0.25,0.37,13.5,0.06,192,3,0.44,9.1,5,0
"1704",7.4,0.25,0.37,13.5,0.06,192,3,0.44,9.1,5,0
"779",8.3,0.43,0.3,3.4,0.079,34,3.36,0.61,10.5,5,1
"2320",6.6,0.29,0.44,9,0.053,178,3.02,0.45,8.9,5,0
"6305",5.7,0.27,0.16,9,0.053,111,3.36,0.37,10.4,6,0
"6312",5.7,0.27,0.16,9,0.053,111,3.36,0.37,10.4,6,0
"1886",6.5,0.28,0.33,15.7,0.053,190,3.22,0.51,9.7,6,0
"6380",5.8,0.3,0.09,6.3,0.042,138,3.15,0.48,9.7,5,0
"6038",6.1,0.21,0.19,1.4,0.046,131,3.22,0.39,10.5,5,0
"1651",6.6,0.25,0.29,1.1,0.068,124,3.34,0.58,11,7,0
"6267",6.1,0.16,0.34,6.1,0.034,114,3.32,0.58,10.15,7,0
"2041",6.1,0.38,0.2,6.6,0.033,137,3.3,0.69,10.4,6,0
"4261",7.2,0.3,0.26,1.5,0.041,178,3.19,0.56,11.3,6,0
"1246",7.4,0.55,0.19,1.8,0.082,34,3.49,0.68,10.5,5,1
"1248",7.4,0.55,0.19,1.8,0.082,34,3.49,0.68,10.5,5,1
"338",7.8,0.43,0.32,2.8,0.08,58,3.31,0.64,10.3,5,1
"3476",8,0.19,0.3,2,0.053,140,3.18,0.49,9.6,6,0
"2503",5.9,0.31,0.3,7.7,0.047,206,3.2,0.39,9.6,6,0
"5361",6.1,0.17,0.28,2.5,0.028,98,3.16,0.37,11.1,7,0
"5849",5.5,0.23,0.19,2.2,0.044,161,3.19,0.43,10.4,6,0
"2550",7.6,0.345,0.26,1.9,0.043,134,3.08,0.38,9.5,5,0
"2555",7.6,0.345,0.26,1.9,0.043,134,3.08,0.38,9.5,5,0
"2310",6.1,0.25,0.24,12.1,0.046,172,3.35,0.45,9.5,5,0
"2802",6.4,0.3,0.38,7.8,0.046,192,3.1,0.37,9,5,0
"2807",6.4,0.3,0.38,7.8,0.046,192,3.1,0.37,9,5,0
"6206",6.9,0.29,0.32,5.8,0.04,112,3.04,0.58,11.2,5,0
"6098",6.8,0.2,0.25,6.2,0.052,106,3.09,0.54,10.8,5,0
"2334",6.9,0.38,0.25,9.8,0.04,191,3.28,0.61,9.2,5,0
"2337",6.9,0.38,0.25,9.8,0.04,191,3.28,0.61,9.2,5,0
"2556",7.5,0.32,0.26,1.8,0.042,133,3.07,0.38,9.5,5,0
"5483",6.8,0.33,0.31,7.4,0.045,143,3.06,0.55,12.2,6,0
"5486",6.8,0.33,0.31,7.4,0.045,143,3.06,0.55,12.2,6,0
"5389",6.6,0.26,0.52,8.2,0.047,191,3.16,0.47,9.5,6,0
"6215",6.1,0.44,0.28,4.25,0.032,132,3.26,0.47,11.2666666666667,7,0
"3742",7.5,0.26,0.52,13.2,0.047,179,3.1,0.46,9,5,0
"4631",5.8,0.19,0.25,10.8,0.042,124,3.22,0.41,9.2,6,0
"688",9.1,0.64,0.23,3.1,0.095,38,3.28,0.59,9.7,5,1
"5558",5.6,0.185,0.19,7.1,0.048,110,3.26,0.41,9.5,6,0
"5559",5.6,0.185,0.19,7.1,0.048,110,3.26,0.41,9.5,6,0
"3876",6.7,0.31,0.18,7.7,0.043,200,3.17,0.44,9.4,6,0
"3878",6.7,0.31,0.18,7.7,0.043,200,3.17,0.44,9.4,6,0
"5190",6.6,0.19,0.35,1.5,0.037,107,3.18,0.68,12,7,0
"4939",7.6,0.17,0.27,4.6,0.05,98,3.08,0.47,9.5,6,0
"4941",7.6,0.17,0.27,4.6,0.05,98,3.08,0.47,9.5,6,0
"2409",6.2,0.3,0.26,13.4,0.046,206,3.17,0.43,9.5,6,0
"1719",7.3,0.32,0.48,13.3,0.06,196,3.04,0.5,9.2,5,0
"3691",7.2,0.24,0.19,7.7,0.045,176,3.17,0.38,9.5,5,0
"5307",6.7,0.34,0.43,1.6,0.041,114,3.23,0.44,12.6,6,0
"753",7.6,0.54,0.13,2.5,0.097,66,3.39,0.61,9.4,5,1
"1602",8.1,0.28,0.4,6.9,0.05,97,3.26,0.44,10.1,6,0
"1605",8.1,0.28,0.4,6.9,0.05,97,3.26,0.44,10.1,6,0
"2533",5.9,0.29,0.33,7.4,0.037,205,3.26,0.41,9.6,5,0
"1806",7,0.16,0.32,8.3,0.045,126,3.21,0.34,9.2,5,0
"1812",7,0.16,0.32,8.3,0.045,126,3.21,0.34,9.2,5,0
"4877",6.4,0.16,0.25,1.4,0.057,125,3.23,0.44,11.1,7,0
"4279",7.6,0.18,0.28,7.1,0.041,110,3.2,0.42,9.2,6,0
"4289",7.6,0.18,0.28,7.1,0.041,110,3.2,0.42,9.2,6,0
"1928",6.5,0.28,0.35,15.4,0.042,195,3.23,0.5,9.6,6,0
"2407",6.2,0.29,0.26,13.1,0.046,204,3.16,0.41,9.6,6,0
"6063",6.7,0.32,0.32,1.7,0.031,114,3.12,0.35,12.5,6,0
"6218",6.1,0.44,0.28,4.25,0.032,132,3.26,0.47,11.3,7,0
"4074",6.1,0.27,0.31,1.5,0.035,83,3.32,0.44,11.1,7,0
"4077",6.1,0.27,0.31,1.5,0.035,83,3.32,0.44,11.1,7,0
"4340",6.3,0.2,0.19,12.3,0.048,145,3.16,0.42,9.3,6,0
"5035",6.5,0.24,0.28,1.1,0.034,83,3.25,0.33,12.3,6,0
"3191",6.4,0.12,0.49,6.4,0.042,161,3.34,0.44,10.4,6,0
"4479",5.7,0.37,0.3,1.1,0.029,88,3.18,0.39,11.7,6,0
"4789",6.6,0.19,0.33,1.8,0.035,148,3.15,0.36,10.2,5,0
"5711",5.5,0.21,0.25,1.2,0.04,75,3.31,0.56,11.3,6,0
"1968",7.7,0.29,0.48,2.3,0.049,178,3.17,0.64,10.6,6,0
"1971",7.7,0.29,0.48,2.3,0.049,178,3.17,0.64,10.6,6,0
"4459",6.6,0.21,0.36,0.8,0.034,113,3.24,0.68,10.5,6,0
"3861",6.5,0.36,0.31,4.1,0.061,134,3.18,0.45,9,6,0
"6464",6,0.41,0.23,1.1,0.066,148,3.3,0.47,9.63333333333333,5,0
"3173",7.8,0.26,0.49,3.1,0.045,116,3.16,0.35,10.3,5,0
"4412",6.7,0.16,0.34,1.6,0.026,109,3.34,0.58,10.1,6,0
"1405",8,0.5,0.39,2.6,0.082,46,3.43,0.62,10.7,6,1
"1973",7.2,0.27,0.27,2.4,0.048,149,3.1,0.51,9.2,6,0
"1983",7.2,0.27,0.27,2.4,0.048,149,3.1,0.51,9.2,6,0
"1392",8,0.64,0.22,2.4,0.094,33,3.37,0.58,11,5,1
